,location,property_type,size_sqft,num_bedroom,num_bathroom,floor_num,total_floor,age_years,furnishing,amenities,distance_to_metro_km,view_score,price
P10000,Jaipur,Duplex,2452,3,3,9,21,8,Semi Furnished,"['Club House', 'Swimming Pool', 'Power Backup', 'Gym', 'Parking']",4.79,3,49480415.19
P10001,Pune,Independent House,1237,5,2,16,8,12,Unfurnished,"['Parking', 'Garden', 'Wi-Fi', 'Swimming Pool', 'Security', 'Gym']",0.52,1,1031486.46
P10002,Delhi,Villa,2634,3,3,8,5,14,Unfurnished,"['Power Backup', 'Elevator', 'Club House', 'Garden', 'Swimming Pool']",5.04,2,36138242.92
P10003,Ahmedabad,Duplex,1070,4,1,20,12,5,Semi Furnished,"['Power Backup', 'Swimming Pool', 'Gym', 'Garden', 'Security', 'Elevator']",5.5,10,24986046.45
P10004,Pune,Independent House,3953,2,4,9,16,18,Fully Furnished,"['Elevator', 'Garden', 'Gym']",1.58,8,2690157.43
P10005,Delhi,Apartment,2957,1,4,11,8,5,Unfurnished,"['Garden', 'Parking', 'Club House', 'Elevator', 'Swimming Pool']",7.63,7,47993394.04
P10006,Bangalore,Independent House,4227,2,4,13,28,17,Unfurnished,"['Security', 'Elevator', 'Club House', 'Power Backup']",4.38,6,42306875.58
P10007,Kolkata,Villa,1786,1,2,13,9,20,Fully Furnished,"['Club House', 'Wi-Fi', 'Garden', 'Security', 'Elevator', 'Swimming Pool']",1.78,3,16743962.82
P10008,Bangalore,Studio,3041,1,2,12,12,7,Fully Furnished,"['Garden', 'Parking', 'Security']",8.43,9,33720405.51
P10009,Jaipur,Penthouse,4015,1,2,9,5,18,Semi Furnished,"['Security', 'Swimming Pool', 'Wi-Fi', 'Club House', 'Power Backup']",1.36,7,9644212.53
P10010,Hyderabad,Duplex,852,2,2,12,22,3,Fully Furnished,"['Security', 'Swimming Pool', 'Elevator']",2.9,6,24113051.56
P10011,Ahmedabad,Apartment,945,4,1,6,28,19,Semi Furnished,"['Gym', 'Elevator', 'Security', 'Swimming Pool', 'Wi-Fi', 'Parking']",1.84,6,42585090.44
P10012,Bangalore,Villa,789,3,4,19,30,1,Fully Furnished,"['Elevator', 'Security', 'Power Backup', 'Swimming Pool', 'Wi-Fi', 'Parking']",1.34,2,12394810.73
P10013,Bangalore,Penthouse,1303,5,3,13,27,1,Fully Furnished,"['Power Backup', 'Elevator', 'Security', 'Swimming Pool', 'Gym']",2.88,2,11948828.19
P10014,Pune,Villa,1060,4,2,8,25,5,Fully Furnished,"['Club House', 'Garden', 'Security']",2.07,4,11121644.89
P10015,Mumbai,Independent House,637,4,4,16,19,2,Semi Furnished,"['Swimming Pool', 'Parking', 'Security']",3.37,10,43496738
P10016,Mumbai,Independent House,2173,3,4,7,11,11,Unfurnished,"['Club House', 'Gym', 'Swimming Pool', 'Parking']",3.48,5,37803447.07
P10017,Chennai,Studio,3143,5,1,15,23,7,Unfurnished,"['Elevator', 'Gym', 'Security', 'Parking', 'Club House']",6.45,8,28877037.71
P10018,Pune,Independent House,952,3,4,5,28,3,Fully Furnished,"['Parking', 'Security', 'Garden', 'Wi-Fi', 'Swimming Pool']",4,6,11140444.93
P10019,Ahmedabad,Penthouse,664,5,4,16,12,10,Semi Furnished,"['Swimming Pool', 'Security', 'Wi-Fi', 'Elevator']",3.52,2,4544148.2
P10020,Ahmedabad,Duplex,2791,3,3,5,22,16,Fully Furnished,"['Power Backup', 'Swimming Pool', 'Elevator', 'Club House', 'Wi-Fi']",8.36,6,44780552.92
P10021,Chandigarh,Independent House,4014,3,3,6,25,6,Fully Furnished,"['Wi-Fi', 'Parking', 'Power Backup', 'Elevator']",1.47,10,17126181.48
P10022,Jaipur,Independent House,968,3,2,20,19,3,Semi Furnished,"['Security', 'Club House', 'Parking']",2.37,5,41740206.51
P10023,Kolkata,Apartment,723,2,3,4,28,20,Fully Furnished,"['Swimming Pool', 'Club House', 'Gym', 'Security']",9.75,7,24965530.07
P10024,Ahmedabad,Independent House,4363,1,3,13,20,15,Fully Furnished,"['Elevator', 'Security', 'Power Backup', 'Gym', 'Parking']",3.59,2,36703884.89
P10025,Bangalore,Studio,4676,2,4,13,6,18,Fully Furnished,"['Gym', 'Club House', 'Power Backup']",9.08,3,46142729.1
P10026,Chandigarh,Duplex,1795,5,2,18,27,3,Unfurnished,"['Gym', 'Security', 'Parking', 'Club House', 'Elevator']",2.73,2,11191453.79
P10027,Ahmedabad,Studio,936,1,2,12,16,4,Semi Furnished,"['Security', 'Club House', 'Gym', 'Parking']",9.01,9,4981612.03
P10028,Chandigarh,Penthouse,3213,4,4,1,9,2,Fully Furnished,"['Wi-Fi', 'Club House', 'Power Backup', 'Parking', 'Garden']",1.74,2,2397784.55
P10029,Delhi,Apartment,2866,3,4,2,15,19,Semi Furnished,"['Garden', 'Security', 'Club House', 'Parking']",6.02,7,31072297.01
P10030,Bangalore,Independent House,2108,2,1,20,17,2,Unfurnished,"['Club House', 'Wi-Fi', 'Security']",6.75,4,21803530.91
P10031,Jaipur,Penthouse,3149,1,1,12,28,18,Unfurnished,"['Swimming Pool', 'Wi-Fi', 'Club House', 'Parking', 'Garden', 'Power Backup']",8.63,5,25114054.46
P10032,Chennai,Apartment,3527,5,2,20,18,1,Semi Furnished,"['Power Backup', 'Wi-Fi', 'Swimming Pool', 'Club House']",7.87,9,20735067.92
P10033,Ahmedabad,Independent House,659,3,3,15,11,0,Semi Furnished,"['Security', 'Elevator', 'Parking']",5.08,4,44456533.25
P10034,Hyderabad,Penthouse,1532,5,3,15,26,6,Semi Furnished,"['Garden', 'Swimming Pool', 'Elevator', 'Club House', 'Security', 'Parking']",2.69,1,16639750.58
P10035,Delhi,Villa,4692,1,2,2,25,10,Semi Furnished,"['Elevator', 'Wi-Fi', 'Gym', 'Parking']",4.48,7,19011866.61
P10036,Jaipur,Duplex,1836,1,1,20,18,3,Unfurnished,"['Power Backup', 'Gym', 'Swimming Pool', 'Elevator']",6.4,8,44178550.53
P10037,Pune,Penthouse,2521,2,3,8,19,3,Unfurnished,"['Elevator', 'Security', 'Garden', 'Parking', 'Gym']",3.17,7,46762991.77
P10038,Delhi,Independent House,2035,3,1,4,19,16,Semi Furnished,"['Garden', 'Power Backup', 'Parking', 'Swimming Pool']",0.71,9,6254469.92
