X,location,property_type,size_sqft,num_bedroom,num_bathroom,floor_num,total_floor,age_years,furnishing,amenities,distance_to_metro_km,view_score,price
P64127,Jaipur,Villa,603,2,2,19,19,14,Fully Furnished,"['Gym', 'Power Backup', 'Elevator', 'Security', 'Swimming Pool']",4.26,2,5052807.48
P54430,Jaipur,Penthouse,3525,5,2,19,13,10,Fully Furnished,"['Gym', 'Club House', 'Parking']",6.16,3,48303143.78
P19111,Chennai,Duplex,3507,3,4,1,9,15,Unfurnished,"['Power Backup', 'Gym', 'Club House', 'Swimming Pool', 'Parking', 'Wi-Fi']",9.26,2,31165359.46
P25003,Jaipur,Studio,4420,2,4,12,12,19,Semi Furnished,"['Club House', 'Garden', 'Security', 'Parking']",2.58,5,49263975.34
P50731,Jaipur,Penthouse,4633,1,3,1,17,10,Unfurnished,"['Wi-Fi', 'Garden', 'Elevator', 'Power Backup']",9,7,6903320.79
P62391,Pune,Independent House,532,1,1,9,7,9,Semi Furnished,"['Club House', 'Gym', 'Swimming Pool', 'Security', 'Garden']",1.95,8,43629120.04
P103916,Bangalore,Penthouse,3855,3,3,3,11,3,Semi Furnished,"['Power Backup', 'Swimming Pool', 'Parking']",0.52,2,19766283.79
P91494,Delhi,Studio,923,4,2,17,7,20,Unfurnished,"['Garden', 'Gym', 'Swimming Pool', 'Elevator']",5.3,7,32513364.05
P47301,Pune,Duplex,4104,3,3,7,19,0,Semi Furnished,"['Wi-Fi', 'Elevator', 'Power Backup', 'Garden']",6.69,2,26532442.68
P58017,Chandigarh,Villa,2347,3,3,18,25,15,Semi Furnished,"['Parking', 'Elevator', 'Swimming Pool', 'Wi-Fi', 'Club House', 'Garden']",7.66,2,31561133.89
P30623,Bangalore,Apartment,4806,1,1,13,20,0,Fully Furnished,"['Club House', 'Swimming Pool', 'Security']",4.38,4,4356671.22
P69872,Chennai,Penthouse,2518,4,3,20,13,19,Semi Furnished,"['Garden', 'Elevator', 'Power Backup', 'Security', 'Swimming Pool', 'Parking']",4.22,2,13574366.93
P106817,Ahmedabad,Villa,2445,4,1,14,6,8,Semi Furnished,"['Swimming Pool', 'Club House', 'Security', 'Elevator', 'Wi-Fi']",7.6,4,13700854.82
P104064,Chennai,Penthouse,2614,2,1,13,19,19,Unfurnished,"['Club House', 'Swimming Pool', 'Parking', 'Security', 'Wi-Fi']",1.87,7,21800105.14
P28802,Mumbai,Studio,2703,1,4,17,9,18,Unfurnished,"['Club House', 'Garden', 'Swimming Pool', 'Wi-Fi']",7.63,10,46352235.37
P34529,Jaipur,Villa,2758,1,1,1,21,2,Semi Furnished,"['Swimming Pool', 'Power Backup', 'Garden', 'Security', 'Elevator', 'Gym']",8.58,4,32247720.6
P87265,Chennai,Duplex,1844,3,1,5,19,20,Semi Furnished,"['Swimming Pool', 'Gym', 'Club House', 'Elevator']",3.88,8,41699453.27
P98964,Bangalore,Independent House,2651,5,4,17,13,18,Semi Furnished,"['Swimming Pool', 'Power Backup', 'Garden']",8.85,6,49536833.94
P95350,Delhi,Penthouse,4603,3,2,8,11,1,Fully Furnished,"['Parking', 'Garden', 'Power Backup', 'Swimming Pool', 'Elevator']",3.66,10,43934623
P63496,Bangalore,Independent House,2171,4,2,4,5,3,Fully Furnished,"['Parking', 'Power Backup', 'Security', 'Garden']",3.54,2,8275559.48
P62488,Jaipur,Apartment,3134,4,4,9,22,16,Semi Furnished,"['Swimming Pool', 'Gym', 'Wi-Fi', 'Elevator']",3.62,6,20872693.48
P35260,Chandigarh,Independent House,1717,2,4,13,26,9,Unfurnished,"['Swimming Pool', 'Garden', 'Parking', 'Elevator']",8.03,1,38060593.27
P61787,Mumbai,Independent House,3401,4,3,19,11,12,Fully Furnished,"['Wi-Fi', 'Garden', 'Swimming Pool', 'Power Backup']",4.61,8,48512903.01
P95866,Chandigarh,Villa,4882,2,1,12,17,15,Unfurnished,"['Wi-Fi', 'Security', 'Parking', 'Club House']",1.09,7,5013837.97
P43414,Jaipur,Independent House,2724,3,3,10,8,9,Unfurnished,"['Elevator', 'Club House', 'Parking', 'Wi-Fi', 'Security', 'Gym']",3.28,1,7813256.51
P30496,Bangalore,Penthouse,3895,1,3,3,18,7,Unfurnished,"['Power Backup', 'Club House', 'Parking']",9.37,8,39164212.99
P104698,Chandigarh,Apartment,1122,2,2,6,5,5,Semi Furnished,"['Power Backup', 'Security', 'Elevator', 'Swimming Pool']",9.12,2,39135152.44
P54271,Bangalore,Independent House,2629,4,1,14,6,10,Unfurnished,"['Security', 'Wi-Fi', 'Elevator', 'Club House', 'Garden']",5.91,7,45191611.24
P73600,Mumbai,Villa,3782,2,3,1,8,1,Semi Furnished,"['Elevator', 'Swimming Pool', 'Garden']",2.09,10,732626.03
P30861,Pune,Villa,3975,5,4,19,14,3,Unfurnished,"['Power Backup', 'Parking', 'Wi-Fi', 'Security', 'Club House', 'Elevator']",6.16,10,12920399.24
P102583,Bangalore,Duplex,3056,1,3,16,23,13,Unfurnished,"['Power Backup', 'Elevator', 'Swimming Pool', 'Security']",9.64,1,1871959.71
P65906,Chennai,Studio,1966,4,4,8,10,20,Unfurnished,"['Parking', 'Wi-Fi', 'Elevator', 'Swimming Pool']",1.54,3,7211940.57
P56725,Chennai,Apartment,4628,4,4,20,21,15,Semi Furnished,"['Gym', 'Club House', 'Swimming Pool', 'Power Backup', 'Security', 'Parking']",5.94,2,38634188.03
P84732,Chandigarh,Apartment,4925,2,3,3,23,3,Semi Furnished,"['Security', 'Elevator', 'Garden', 'Parking', 'Swimming Pool', 'Club House']",7.71,4,20636104.05
P52344,Chandigarh,Penthouse,4674,2,4,17,29,13,Fully Furnished,"['Swimming Pool', 'Parking', 'Security', 'Gym']",8.94,4,30348626.77
P48451,Chennai,Studio,3015,4,4,15,15,19,Fully Furnished,"['Garden', 'Parking', 'Wi-Fi']",4.13,7,7785519.77
